tricode,pp,pk,ppgf,competition_name,tid,type,win,goals_for,goals_against,game_count,team_name,win_pct,avg_gf,avg_ga
TOR,324,307,27.0,2015 NHL Regular Season,1,2,28,196.0,238.0,79,Toronto Maple Leafs,0.35443037974683544,2.481012658227848,3.0126582278481013
VAN,316,304,38.0,2015 NHL Regular Season,53,2,31,191.0,238.0,80,Vancouver Canucks,0.3875,2.3875,2.975
WPG,353,327,41.0,2015 NHL Regular Season,4,2,35,216.0,235.0,80,Winnipeg Jets,0.4375,2.7,2.9375
WSH,304,303,67.0,2015 NHL Regular Season,5,2,54,245.0,186.0,78,Washington Capitals,0.6923076923076923,3.141025641025641,2.3846153846153846
ANA,78,66,10.0,2016 NHL Playoff,21,3,10,49.0,50.0,16,Anaheim Ducks,0.625,3.0625,3.125
BOS,27,21,3.0,2016 NHL Playoff,20,3,2,13.0,15.0,6,Boston Bruins,0.3333333333333333,2.1666666666666665,2.5
CBJ,18,13,2.0,2016 NHL Playoff,52,3,1,13.0,21.0,5,Columbus Blue Jackets,0.2,2.6,4.2
CGY,16,20,6.0,2016 NHL Playoff,11,3,0,9.0,14.0,4,Calgary Flames,0.0,2.25,3.5
CHI,11,10,2.0,2016 NHL Playoff,6,3,0,3.0,13.0,4,Chicago Blackhawks,0.0,0.75,3.25
EDM,58,52,8.0,2016 NHL Playoff,10,3,6,35.0,35.0,13,Edmonton Oilers,0.46153846153846156,2.6923076923076925,2.6923076923076925
MIN,19,22,3.0,2016 NHL Playoff,35,3,1,8.0,11.0,5,Minnesota Wild,0.2,1.6,2.2
MTL,22,24,3.0,2016 NHL Playoff,2,3,2,11.0,14.0,6,Montréal Canadiens,0.3333333333333333,1.8333333333333333,2.3333333333333335
NSH,88,92,19.0,2016 NHL Playoff,19,3,13,58.0,47.0,21,Nashville Predators,0.6190476190476191,2.761904761904762,2.238095238095238
NYR,54,59,3.0,2016 NHL Playoff,28,3,6,34.0,30.0,12,New York Rangers,0.5,2.8333333333333335,2.5
OTT,81,81,11.0,2016 NHL Playoff,32,3,9,41.0,49.0,18,Ottawa Senators,0.5,2.2777777777777777,2.7222222222222223
PIT,97,105,8.0,2016 NHL Playoff,8,3,16,74.0,47.0,23,Pittsburgh Penguins,0.6956521739130435,3.217391304347826,2.0434782608695654
SJS,17,27,7.0,2016 NHL Playoff,16,3,2,14.0,11.0,6,San Jose Sharks,0.3333333333333333,2.3333333333333335,1.8333333333333333
STL,46,41,3.0,2016 NHL Playoff,7,3,6,22.0,23.0,11,St. Louis Blues,0.5454545454545454,2.0,2.090909090909091
